session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080115235,SELL,0.4776026743075453,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.472125,0.618120989457174,0.0,57732,0
20260818-190823,1787080115227,SELL,0.4776026743075453,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.472125,0.618120989457174,0.0,57740,0
20260818-190823,1787080115337,SELL,0.4803230754481833,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.477742,0.618120989457174,0.0,57630,0
20260818-190823,1787080115439,SELL,0.48026221178275247,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.477619,0.618120989457174,0.0,57528,0
20260818-190823,1787080115299,SELL,0.48026221178275247,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.477619,0.618120989457174,0.0,57668,0
20260818-190823,1787080115541,SELL,0.479947292764734,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.477691,0.618120989457174,0.0,57426,0
20260818-190823,1787080115643,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.711681,0.618120989457174,0.0,57324,0
20260818-190823,1787080115577,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.711681,0.618120989457174,0.0,57390,0
20260818-190823,1787080115745,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.709645,0.618120989457174,0.0,57222,0
20260818-190823,1787080115847,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.72912,0.618120989457174,0.0,57120,0
20260818-190823,1787080115949,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.732026,0.618120989457174,0.0,57018,0
20260818-190823,1787080115816,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.732026,0.618120989457174,0.0,57151,0
20260818-190823,1787080116051,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.732026,0.618120989457174,0.0,56916,0
20260818-190823,1787080116153,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.72465,0.618120989457174,0.0,56814,0
20260818-190823,1787080116060,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.72465,0.618120989457174,0.0,56907,0
20260818-190823,1787080116255,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.72465,0.618120989457174,0.0,56712,0
20260818-190823,1787080116357,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.731972,0.618120989457174,0.0,56610,0
20260818-190823,1787080116404,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.731972,0.618120989457174,0.0,56563,0
20260818-190823,1787080116459,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.73114,0.618120989457174,0.0,56508,0
20260818-190823,1787080116561,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.673381,0.618120989457174,0.0,56406,0
20260818-190823,1787080116426,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.673381,0.618120989457174,0.0,56541,0
20260818-190823,1787080116663,SELL,0.4846779313375983,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.486961,0.618120989457174,0.0,56304,0
20260818-190823,1787080116765,SELL,0.46133386921367436,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.439017,0.618120989457174,0.0,56202,0
20260818-190823,1787080116867,SELL,0.46231060606060603,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.441022,0.618120989457174,0.0,56100,0
20260818-190823,1787080116969,SELL,0.46332385016595545,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.443103,0.618120989457174,0.0,55998,0
20260818-190823,1787080117071,SELL,0.46836676490160656,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.453379,0.618120989457174,0.0,55896,0
20260818-190823,1787080117013,SELL,0.46836676490160656,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.453379,0.618120989457174,0.0,55954,0
20260818-190823,1787080117173,SELL,0.4685941581572073,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.453827,0.618120989457174,0.0,55794,0
20260818-190823,1787080117275,SELL,0.4685807922485038,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.453801,0.618120989457174,0.0,55692,0
20260818-190823,1787080117377,SELL,0.4666066691928761,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.449748,0.618120989457174,0.0,55590,0
20260818-190823,1787080117479,SELL,0.4666066691928761,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.449748,0.618120989457174,0.0,55488,0
20260818-190823,1787080117581,SELL,0.467932899919328,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.45247,0.618120989457174,0.0,55386,0
20260818-190823,1787080117683,SELL,0.47384096454715086,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.45247,0.618120989457174,0.0,55284,0
20260818-190823,1787080117572,SELL,0.47384096454715086,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.45247,0.618120989457174,0.0,55395,0
20260818-190823,1787080117785,SELL,0.47373708381171065,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.45247,0.618120989457174,0.0,55182,0
20260818-190823,1787080117887,SELL,0.4739615697146409,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.452918,0.618120989457174,0.0,55080,0
20260818-190823,1787080117989,SELL,0.47399617590822174,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.452988,0.618120989457174,0.0,54978,0
20260818-190823,1787080118091,SELL,0.48161539548687987,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.468228,0.618120989457174,0.0,54876,0
20260818-190823,1787080118193,SELL,0.48161539548687987,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.468228,0.618120989457174,0.0,54774,0
20260818-190823,1787080118048,SELL,0.48161539548687987,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.468228,0.618120989457174,0.0,54919,0
20260818-190823,1787080118295,SELL,0.48122287224004534,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.467446,0.618120989457174,0.0,54672,0
20260818-190823,1787080118227,SELL,0.48122287224004534,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.467446,0.618120989457174,0.0,54740,0
20260818-190823,1787080118397,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.63472,0.618120989457174,0.0,54570,0
20260818-190823,1787080118499,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.63472,0.618120989457174,0.0,54468,0
20260818-190823,1787080118601,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.630797,0.618120989457174,0.0,54366,0
20260818-190823,1787080118556,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.630797,0.618120989457174,0.0,54411,0
20260818-190823,1787080118703,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.632183,0.618120989457174,0.0,54264,0
20260818-190823,1787080118805,SELL,0.4802021010976586,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.463245,0.618120989457174,0.0,54162,0
20260818-190823,1787080118692,SELL,0.4802021010976586,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.463245,0.618120989457174,0.0,54275,0
20260818-190823,1787080118907,SELL,0.4802021010976586,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.463245,0.618120989457174,0.0,54060,0
20260818-190823,1787080119009,SELL,0.4802021010976586,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.463245,0.618120989457174,0.0,53958,0
20260818-190823,1787080119111,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.644585,0.618120989457174,0.0,53856,0
20260818-190823,1787080119213,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.642037,0.618120989457174,0.0,53754,0
20260818-190823,1787080126557,SELL,0.4581663946183905,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.423765,0.618120989457174,0.0,46410,0
20260818-190823,1787080126537,SELL,0.4581663946183905,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.423765,0.618120989457174,0.0,46430,0
20260818-190823,1787080126659,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.546645,0.618120989457174,0.0,46308,0
20260818-190823,1787080126761,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.54697,0.618120989457174,0.0,46206,0
20260818-190823,1787080126657,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.54697,0.618120989457174,0.0,46310,0
20260818-190823,1787080126863,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.55047,0.618120989457174,0.0,46104,0
20260818-190823,1787080126965,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.556591,0.618120989457174,0.0,46002,0
20260818-190823,1787080127067,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.9371,0.618120989457174,0.0,45900,0
20260818-190823,1787080127001,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.9371,0.618120989457174,0.0,45966,0
20260818-190823,1787080127169,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.937113,0.618120989457174,0.0,45798,0
20260818-190823,1787080127271,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.942572,0.618120989457174,0.0,45696,0
20260818-190823,1787080127373,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.947574,0.618120989457174,0.0,45594,0
20260818-190823,1787080127266,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.947574,0.618120989457174,0.0,45701,0
20260818-190823,1787080127475,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.94952,0.618120989457174,0.0,45492,0
20260818-190823,1787080127577,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.950963,0.618120989457174,0.0,45390,0
20260818-190823,1787080127520,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.950963,0.618120989457174,0.0,45447,0
20260818-190823,1787080127679,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.877983,0.618120989457174,0.0,45288,0
20260818-190823,1787080127781,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.880919,0.618120989457174,0.0,45186,0
20260818-190823,1787080127883,SELL,0.5,0.618120989457174,-0.015627008305713754,-3.3976790105428254,-1.381879010542826,64712.25,64708.25,0.015453,-0.911806,0.618120989457174,0.0,45084,0
