session,ts_ms,gross_bps
20260818-190746,1787080068417,-0.0
20260818-190746,1787080068519,-0.0
20260818-190746,1787080068578,0.0
20260818-190746,1787080068621,-0.0
20260818-190746,1787080068723,0.0
20260818-190746,1787080068594,0.0
20260818-190746,1787080068825,0.0
20260818-190746,1787080068790,0.0
20260818-190746,1787080068927,0.0
20260818-190746,1787080069029,-0.0
20260818-190746,1787080068913,-0.0
20260818-190746,1787080069131,0.0
20260818-190746,1787080069233,-0.0
20260818-190746,1787080069335,-0.0
20260818-190746,1787080069437,0.0
20260818-190746,1787080069346,-0.0
20260818-190746,1787080069539,0.0
20260818-190746,1787080069641,0.0
20260818-190746,1787080069743,0.0
20260818-190746,1787080069845,-0.0
20260818-190746,1787080069947,-0.0
20260818-190746,1787080069797,0.0
20260818-190746,1787080070049,-0.0
20260818-190746,1787080070151,0.0
20260818-190746,1787080070043,0.0
20260818-190746,1787080070253,0.0
20260818-190746,1787080070355,-0.0
20260818-190746,1787080070457,-0.0
20260818-190746,1787080070370,0.0
20260818-190746,1787080070559,-0.0
20260818-190746,1787080070661,-0.0
20260818-190746,1787080070763,0.0
20260818-190746,1787080070865,0.0
20260818-190746,1787080070967,0.0
20260818-190746,1787080071069,0.0
20260818-190746,1787080071171,-0.0
20260818-190746,1787080071273,0.0
20260818-190746,1787080071375,0.0
20260818-190746,1787080071477,-0.0
20260818-190746,1787080071579,0.0
20260818-190746,1787080071681,0.0
20260818-190746,1787080071783,0.0
20260818-190746,1787080071885,0.0
20260818-190746,1787080071987,0.0
20260818-190746,1787080072089,-0.0
20260818-190746,1787080072191,-0.0
20260818-190746,1787080072293,0.0
20260818-190746,1787080072174,0.0
20260818-190746,1787080072395,0.0
20260818-190746,1787080072497,0.0
20260818-190746,1787080072599,0.0
20260818-190746,1787080072701,0.0
20260818-190746,1787080072803,0.0
20260818-190746,1787080072905,0.0
20260818-190746,1787080073007,0.0
20260818-190746,1787080073109,0.0
20260818-190746,1787080073211,0.0
20260818-190746,1787080073313,-0.0
20260818-190746,1787080073415,-0.0
20260818-190746,1787080073517,-0.0
20260818-190746,1787080073619,0.0
20260818-190746,1787080073721,-0.0
20260818-190746,1787080073823,-0.0
20260818-190746,1787080073925,0.0
20260818-190746,1787080074027,-0.0
20260818-190746,1787080074129,0.0
20260818-190746,1787080074231,-0.0
20260818-190746,1787080074141,-0.0
20260818-190746,1787080074333,0.0
20260818-190746,1787080074435,-0.0
20260818-190746,1787080074537,-0.0
20260818-190746,1787080074639,0.0
20260818-190746,1787080074493,0.0
20260818-190746,1787080074741,-0.0
20260818-190746,1787080074843,0.0
20260818-190746,1787080074945,-0.0
20260818-190746,1787080075047,-0.0
20260818-190746,1787080075149,0.0
20260818-190746,1787080075251,0.0
20260818-190746,1787080075353,0.0
20260818-190746,1787080075455,0.0
20260818-190746,1787080075382,0.0
20260818-190746,1787080075557,0.0
20260818-190746,1787080075659,-0.0
20260818-190746,1787080075761,0.0
20260818-190746,1787080075863,-0.0
20260818-190746,1787080075965,-0.0
20260818-190746,1787080076067,-0.0
20260818-190746,1787080075960,-0.0
20260818-190746,1787080076169,0.0
20260818-190746,1787080076271,0.0
20260818-190746,1787080076123,0.0
20260818-190746,1787080076373,-0.0
20260818-190746,1787080076475,-0.0
20260818-190746,1787080076577,-0.0
20260818-190746,1787080076679,-0.0
20260818-190746,1787080076781,0.0
20260818-190746,1787080076659,0.0
20260818-190746,1787080076883,0.0
20260818-190746,1787080076985,-0.0
20260818-190746,1787080077087,0.0
20260818-190746,1787080077189,0.0
20260818-190746,1787080077291,0.0
20260818-190746,1787080077393,0.0
20260818-190746,1787080077495,-0.0
20260818-190746,1787080077597,-0.0
20260818-190746,1787080077699,-0.0
20260818-190746,1787080077801,0.0
20260818-190746,1787080077903,-0.0
20260818-190746,1787080078005,-0.0
20260818-190746,1787080078107,-0.0
20260818-190746,1787080078209,-0.0
20260818-190746,1787080078311,0.0
20260818-190746,1787080078247,0.0
20260818-190746,1787080078413,-0.0
20260818-190746,1787080078515,-0.0
20260818-190746,1787080078617,-0.0
20260818-190746,1787080078719,-0.0
20260818-190746,1787080078571,-0.0
20260818-190746,1787080078821,-0.0
20260818-190746,1787080078923,-0.0
20260818-190746,1787080079025,0.0
20260818-190746,1787080079127,0.0
20260818-190746,1787080079229,-0.0
20260818-190746,1787080079331,-0.0
20260818-190746,1787080079433,0.0
20260818-190746,1787080079319,0.0
20260818-190746,1787080079535,0.0
20260818-190746,1787080079637,0.0
20260818-190746,1787080079739,-0.0
20260818-190746,1787080079841,-0.0
20260818-190746,1787080079772,0.0
20260818-190746,1787080079943,-0.0
20260818-190746,1787080080045,0.0
20260818-190746,1787080079921,0.0
20260818-190746,1787080080147,0.0
20260818-190746,1787080080043,-0.0
20260818-190746,1787080080249,0.0
20260818-190746,1787080080351,-0.0
20260818-190746,1787080080453,0.0
20260818-190746,1787080080408,0.0
20260818-190746,1787080080555,-0.0
20260818-190746,1787080080657,0.0
20260818-190746,1787080080527,0.0
20260818-190746,1787080080759,-0.0
20260818-190746,1787080080861,-0.0
20260818-190746,1787080080963,-0.0
20260818-190746,1787080081065,-0.0
20260818-190746,1787080081167,-0.0
20260818-190746,1787080081269,0.0
20260818-190746,1787080081371,-0.0
20260818-190746,1787080081473,-0.0
20260818-190746,1787080081575,0.0
20260818-190746,1787080081509,-0.0
20260818-190746,1787080081677,0.0
20260818-190746,1787080081779,-0.0
20260818-190746,1787080081656,-0.0
20260818-190746,1787080081881,0.0
20260818-190746,1787080081792,0.0
20260818-190746,1787080081983,0.0
20260818-190746,1787080082085,0.0
20260818-190746,1787080081996,0.0
20260818-190746,1787080082187,-0.0
20260818-190746,1787080082160,-0.0
20260818-190746,1787080082289,0.0
20260818-190746,1787080082391,0.0
20260818-190746,1787080082265,0.0
20260818-190746,1787080082493,-0.0
20260818-190746,1787080082595,-0.0
20260818-190746,1787080082534,0.0
20260818-190746,1787080082697,-0.0
20260818-190746,1787080082634,0.0
20260818-190746,1787080082799,0.0
20260818-190746,1787080082734,-0.0
20260818-190746,1787080082901,0.0
20260818-190746,1787080083003,0.0
20260818-190746,1787080083105,-0.0
20260818-190746,1787080083207,0.0
20260818-190746,1787080083309,0.0
20260818-190746,1787080083411,0.0
20260818-190746,1787080083513,-0.0
20260818-190746,1787080083615,0.0
20260818-190746,1787080083717,-0.0
20260818-190746,1787080083819,-0.0
20260818-190746,1787080083921,0.0
20260818-190746,1787080083869,-0.0
20260818-190746,1787080084023,-0.0
20260818-190746,1787080084125,0.0
20260818-190746,1787080084017,0.0
20260818-190746,1787080084227,0.0
20260818-190746,1787080084222,0.0
20260818-190746,1787080084329,-0.0
20260818-190746,1787080084431,-0.0
20260818-190746,1787080084533,-0.0
20260818-190746,1787080084424,0.0
20260818-190746,1787080084635,0.0
20260818-190746,1787080084737,0.0
20260818-190746,1787080084839,0.0
20260818-190746,1787080084941,-0.0
20260818-190746,1787080085043,-0.0
20260818-190746,1787080084932,-0.0
20260818-190746,1787080085145,0.0
20260818-190746,1787080085247,-0.0
20260818-190746,1787080085349,0.0
20260818-190746,1787080085451,-0.0
20260818-190746,1787080085553,-0.0
20260818-190746,1787080085655,-0.0
20260818-190746,1787080085757,0.0
20260818-190746,1787080085859,0.0
20260818-190746,1787080085961,-0.0
20260818-190746,1787080086063,-0.0
20260818-190746,1787080086165,0.0
20260818-190746,1787080086267,-0.0
20260818-190746,1787080086369,0.0
20260818-190746,1787080086471,0.0
20260818-190746,1787080086446,-0.0
20260818-190746,1787080086556,-0.0
20260818-190746,1787080086573,0.0
20260818-190746,1787080086675,-0.0
20260818-190746,1787080086556,-0.0
20260818-190746,1787080086777,0.0
20260818-190746,1787080086814,0.0
20260818-190823,1787080104729,0.0
20260818-190823,1787080104831,-0.0
20260818-190823,1787080104933,0.0
20260818-190823,1787080105035,0.0
20260818-190823,1787080104922,0.0
20260818-190823,1787080105137,-0.0
20260818-190823,1787080105239,-0.0
20260818-190823,1787080105341,0.0
20260818-190823,1787080105443,0.0
20260818-190823,1787080105545,0.0
20260818-190823,1787080105459,-0.0
20260818-190823,1787080105647,-0.0
20260818-190823,1787080105749,-0.0
20260818-190823,1787080105851,0.0
20260818-190823,1787080105953,-0.0
20260818-190823,1787080105883,-0.0
20260818-190823,1787080106055,0.0
20260818-190823,1787080106003,-0.0
20260818-190823,1787080106157,0.0
20260818-190823,1787080106259,0.0
20260818-190823,1787080106118,0.0
20260818-190823,1787080106361,-0.0
20260818-190823,1787080106463,-0.0
20260818-190823,1787080106372,0.0
20260818-190823,1787080106565,0.0
20260818-190823,1787080106667,0.0
20260818-190823,1787080106523,-0.0
20260818-190823,1787080106769,0.0
20260818-190823,1787080106871,0.0
20260818-190823,1787080106973,0.0
20260818-190823,1787080106983,0.0
20260818-190823,1787080107075,0.0
20260818-190823,1787080107064,0.0
20260818-190823,1787080107177,-0.0
20260818-190823,1787080107106,-0.0
20260818-190823,1787080107279,-0.0
20260818-190823,1787080107381,-0.0
20260818-190823,1787080107483,-0.0
20260818-190823,1787080107487,-0.0
20260818-190823,1787080107585,-0.0
20260818-190823,1787080107687,-0.0
20260818-190823,1787080107789,0.0
20260818-190823,1787080107678,0.0
20260818-190823,1787080107891,-0.0
20260818-190823,1787080107993,0.0
20260818-190823,1787080108095,0.0
20260818-190823,1787080108197,-0.0
20260818-190823,1787080108105,-0.0
20260818-190823,1787080108299,0.0
20260818-190823,1787080108401,0.0
20260818-190823,1787080108503,0.0
20260818-190823,1787080108605,-0.0
20260818-190823,1787080108530,-0.0
20260818-190823,1787080108707,-0.0
20260818-190823,1787080108636,-0.0
20260818-190823,1787080108809,-0.0
20260818-190823,1787080108911,-0.0
20260818-190823,1787080109013,0.0
20260818-190823,1787080109115,0.0
20260818-190823,1787080109217,-0.0
20260818-190823,1787080109319,0.0
20260818-190823,1787080109175,-0.0
20260818-190823,1787080109421,-0.0
20260818-190823,1787080109523,-0.0
20260818-190823,1787080109625,0.0
20260818-190823,1787080109515,0.0
20260818-190823,1787080109727,0.0
20260818-190823,1787080109829,-0.0
20260818-190823,1787080109931,0.0
20260818-190823,1787080110033,-0.0
20260818-190823,1787080109908,0.0
20260818-190823,1787080110135,0.0
20260818-190823,1787080110237,-0.0
20260818-190823,1787080110115,0.0
20260818-190823,1787080110339,0.0
20260818-190823,1787080110441,-0.0
20260818-190823,1787080110543,0.0
20260818-190823,1787080110396,-0.0
20260818-190823,1787080110645,0.0
20260818-190823,1787080110747,0.0
20260818-190823,1787080110849,0.0
20260818-190823,1787080110729,0.0
20260818-190823,1787080110951,0.0
20260818-190823,1787080110885,-0.0
20260818-190823,1787080111053,0.0
20260818-190823,1787080111155,-0.0
20260818-190823,1787080111257,-0.0
20260818-190823,1787080111359,-0.0
20260818-190823,1787080111461,-0.0
20260818-190823,1787080111563,0.0
20260818-190823,1787080111665,-0.0
20260818-190823,1787080111767,0.0
20260818-190823,1787080111653,-0.0
20260818-190823,1787080111869,-0.0
20260818-190823,1787080111971,0.0
20260818-190823,1787080112073,-0.0
20260818-190823,1787080112175,-0.0
20260818-190823,1787080112117,0.0
20260818-190823,1787080112277,-0.0
20260818-190823,1787080112379,0.0
20260818-190823,1787080112481,-0.0
20260818-190823,1787080112583,-0.0
20260818-190823,1787080112685,0.0
20260818-190823,1787080112539,-0.0
20260818-190823,1787080112787,-0.0
20260818-190823,1787080112711,-0.0
20260818-190823,1787080112889,-0.0
20260818-190823,1787080112991,0.0
20260818-190823,1787080112900,-0.0
20260818-190823,1787080113093,0.0
20260818-190823,1787080113195,0.0
20260818-190823,1787080113297,-0.0
20260818-190823,1787080113399,0.0
20260818-190823,1787080113375,-0.0
20260818-190823,1787080113501,0.0
20260818-190823,1787080113603,-0.0
20260818-190823,1787080113491,0.0
20260818-190823,1787080113705,-0.0
20260818-190823,1787080113807,-0.0
20260818-190823,1787080113909,0.0
20260818-190823,1787080114011,0.0
20260818-190823,1787080114113,-0.0
20260818-190823,1787080114003,-0.0
20260818-190823,1787080114215,0.0
20260818-190823,1787080114119,0.0
20260818-190823,1787080114317,0.0
20260818-190823,1787080114242,0.0
20260818-190823,1787080114419,0.0
20260818-190823,1787080114521,0.0
20260818-190823,1787080114623,-0.0
20260818-190823,1787080114558,-0.0
20260818-190823,1787080114725,0.0
20260818-190823,1787080114735,0.0
20260818-190823,1787080114827,-0.0
20260818-190823,1787080114742,-0.0
20260818-190823,1787080114929,0.0
20260818-190823,1787080115031,0.0
20260818-190823,1787080115133,-0.0
20260818-190823,1787080115182,-0.0
20260818-190823,1787080115235,-0.0
20260818-190823,1787080115227,-0.0
20260818-190823,1787080115337,-0.0
20260818-190823,1787080115439,-0.0
20260818-190823,1787080115299,0.0
20260818-190823,1787080115541,-0.0
20260818-190823,1787080115643,0.0
20260818-190823,1787080115577,0.0
20260818-190823,1787080115745,-0.0
20260818-190823,1787080115847,0.0
20260818-190823,1787080115949,-0.0
20260818-190823,1787080115816,0.0
20260818-190823,1787080116051,-0.0
20260818-190823,1787080116153,0.0
20260818-190823,1787080116060,0.0
20260818-190823,1787080116255,-0.0
20260818-190823,1787080116357,-0.0
20260818-190823,1787080116404,0.0
20260818-190823,1787080116459,0.0
20260818-190823,1787080116561,-0.0
20260818-190823,1787080116426,0.0
20260818-190823,1787080116663,-0.0
20260818-190823,1787080116765,0.0
20260818-190823,1787080116867,-0.0
20260818-190823,1787080116969,0.0
20260818-190823,1787080117071,-0.0
20260818-190823,1787080117013,-0.0
20260818-190823,1787080117173,-0.0
20260818-190823,1787080117275,-0.0
20260818-190823,1787080117377,0.0
20260818-190823,1787080117479,-0.0
20260818-190823,1787080117581,0.0
20260818-190823,1787080117683,-0.0
20260818-190823,1787080117572,-0.0
20260818-190823,1787080117785,-0.0
20260818-190823,1787080117887,-0.0
20260818-190823,1787080117989,-0.0
20260818-190823,1787080118091,-0.0
20260818-190823,1787080118193,-0.0
20260818-190823,1787080118048,-0.0
20260818-190823,1787080118295,0.0
20260818-190823,1787080118227,0.0
20260818-190823,1787080118397,-0.0
20260818-190823,1787080118499,-0.0
20260818-190823,1787080118601,0.0
20260818-190823,1787080118556,0.0
20260818-190823,1787080118703,0.0
20260818-190823,1787080118805,-0.0
20260818-190823,1787080118692,0.0
20260818-190823,1787080118907,0.0
20260818-190823,1787080119009,0.0
20260818-190823,1787080119111,0.0
20260818-190823,1787080119213,-0.0
20260818-190823,1787080119315,-0.0
20260818-190823,1787080119417,0.0
20260818-190823,1787080119519,0.0
20260818-190823,1787080119621,-0.0
20260818-190823,1787080119723,-0.0
20260818-190823,1787080119825,-0.0
20260818-190823,1787080119927,-0.0
20260818-190823,1787080120029,0.0
20260818-190823,1787080120131,0.0
20260818-190823,1787080120233,-0.0
20260818-190823,1787080120335,-0.0
20260818-190823,1787080120437,-0.0
20260818-190823,1787080120539,-0.0
20260818-190823,1787080120641,0.0
20260818-190823,1787080120494,0.0
20260818-190823,1787080120743,0.0
20260818-190823,1787080120845,-0.0
20260818-190823,1787080120947,0.0
20260818-190823,1787080121049,0.0
20260818-190823,1787080121151,0.0
