split,n,gross_bps,net_maker_bps
1,9168,0.053615117754519444,-1.9463848822454806
2,9429,0.09468104477690341,-1.9053189552230967
3,8161,0.04314227604403035,-1.9568577239559697
4,10893,0.15903808468270453,-1.8409619153172954
