session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190746,1787080070049,SELL,0.46368616646376626,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.431679,0.0,0.0,0,0
20260818-190746,1787080070151,SELL,0.46368616646376626,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.431679,0.0,0.0,0,0
20260818-190746,1787080070043,SELL,0.46368616646376626,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.431679,0.0,0.0,0,0
20260818-190746,1787080070253,SELL,0.46368616646376626,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.431679,0.0,0.0,0,0
20260818-190746,1787080070355,SELL,0.4848849220439653,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.474302,0.0,0.0,0,0
20260818-190746,1787080070457,SELL,0.4849086448447285,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.47435,0.0,0.0,0,0
20260818-190746,1787080070370,SELL,0.4849086448447285,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.47435,0.0,0.0,0,0
20260818-190746,1787080070559,SELL,0.48493236917713145,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.474398,0.0,0.0,0,0
20260818-190746,1787080070661,SELL,0.4797262645041349,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.463906,0.0,0.0,0,0
20260818-190746,1787080070763,SELL,0.4797262645041349,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.463906,0.0,0.0,0,0
20260818-190746,1787080070865,SELL,0.4797262645041349,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.463906,0.0,0.0,0,0
20260818-190746,1787080070967,SELL,0.4797262645041349,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.463906,0.0,0.0,0,0
20260818-190746,1787080071069,SELL,0.4797262645041349,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.463906,0.0,0.0,0,0
20260818-190746,1787080071171,SELL,0.47767086503420497,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.459343,0.0,0.0,0,0
20260818-190746,1787080071273,SELL,0.47767086503420497,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.459343,0.0,0.0,0,0
20260818-190746,1787080071375,SELL,0.47767086503420497,-0.0,-0.015626160566134247,-4.0158,-2.0,64715.350000000006,64715.350000000006,0.015452,-0.459343,0.0,0.0,0,0
