feature,n_signals,gross_bps,net_taker_bps,net_maker_bps,expected_net_maker_bps,break_even_cost,cost_breakdown,max_adverse,max_favorable,std,frac_positive
absorption_ratio,21875,0.0019216886527502212,-4.66387831134725,-2.55597831134725,-1.7891848179430747,0.0019216886527502212,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.1743303517854833,4.291496407614244,0.6491431567611335,0.08854857142857143
vamp_deviation,21875,0.11950565088698001,-4.54629434911302,-2.4383943491130196,-1.7068760443791142,0.11950565088698001,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-4.291496407614244,3.7180336249665955,0.6453083300631528,0.16434285714285715
resiliency,21830,0.0032390291524164237,-4.662560970847584,-2.5546609708475834,-1.7882626795933088,0.0032390291524164237,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.82671340317944,3.7180336249665955,0.279704232687672,0.030187814933577646
convexity,21875,0.0008511123802344284,-4.664948887619765,-2.5570488876197652,-1.789934221333836,0.0008511123802344284,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.1898148900877774,4.291496407614244,0.6562802122954279,0.09179428571428572
flow_persistence,21390,-0.005238931462937976,-4.671038931462938,-2.563138931462938,-1.7941972520240563,-0.005238931462937976,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.82671340317944,4.291496407614244,0.5668511625347696,0.0638148667601683
spread_regime,20975,0.0013461718411534372,-4.664453828158846,-2.5565538281588465,-1.7895876797111925,0.0013461718411534372,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.1898148900877774,4.291496407614244,0.6700842516441551,0.09573301549463648
flow_pressure,21875,0.0019216886527502212,-4.66387831134725,-2.55597831134725,-1.7891848179430747,0.0019216886527502212,"{'taker_fee': 4.0, 'maker_fee': 2.0, 'slippage': 0.0079, 'latency': 0.05, 'adverse_selection': 0.5, 'total_maker': 2.5578999999999996}",-3.1743303517854833,4.291496407614244,0.6491431567611335,0.08854857142857143
