feature,n_signals,gross_bps,t_stat,p_value,ci_low,ci_high,net_taker_bps,net_maker_bps,sessions_positive,total_sessions,frac_positive,perm_mean_bps
absorption_ratio,21875,0.0019216886527502212,0.43783113966594484,0.6615130189120668,-0.05321229578999238,0.05480709329741955,-4.66387831134725,-1.9980783113472498,4,9,0.08854857142857143,0.0031989523978806673
vamp_deviation,21875,0.11950565088698001,27.38957378758976,0.0,0.07211316891160467,0.1662096358111718,-4.54629434911302,-1.88049434911302,8,9,0.16434285714285715,-0.004699451951181383
resiliency,21830,0.0032390291524164237,1.7109319593556973,0.08710788154667126,-0.0034121357093681035,0.009701090940954444,-4.662560970847584,-1.9967609708475835,4,9,0.030187814933577646,0.00038381820636413234
convexity,21875,0.0008511123802344284,0.1918057850443325,0.8478961196746453,-0.05487262877261008,0.05516902953642173,-4.664948887619765,-1.9991488876197656,4,9,0.09179428571428572,0.0008511123802344284
flow_persistence,21390,-0.005238931462937976,-1.3516645244192553,0.1764969525545966,-0.0429158244669131,0.03574989832188728,-4.671038931462938,-2.005238931462938,5,9,0.0638148667601683,0.0011487383692536943
spread_regime,20975,0.0013461718411534372,0.29094555227182545,0.7710958386770126,-0.05830395474251222,0.057894443507739174,-4.664453828158846,-1.9986538281588466,4,9,0.09573301549463648,0.001346171841153437
flow_pressure,21875,0.0019216886527502212,0.43783113966594484,0.6615130189120668,-0.05321229578999238,0.05480709329741955,-4.66387831134725,-1.9980783113472498,4,9,0.08854857142857143,0.0031989523978806673
