session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080117683,SELL,0.47384096454715086,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.45247,0.0,0.0,0,0
20260818-190823,1787080117572,SELL,0.47384096454715086,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.45247,0.0,0.0,0,0
20260818-190823,1787080117785,SELL,0.47373708381171065,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.45247,0.0,0.0,0,0
20260818-190823,1787080117887,SELL,0.4739615697146409,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.452918,0.0,0.0,0,0
20260818-190823,1787080117989,SELL,0.47399617590822174,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.452988,0.0,0.0,0,0
20260818-190823,1787080118091,SELL,0.48161539548687987,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.468228,0.0,0.0,0,0
20260818-190823,1787080118193,SELL,0.48161539548687987,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.468228,0.0,0.0,0,0
20260818-190823,1787080118048,SELL,0.48161539548687987,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.468228,0.0,0.0,0,0
20260818-190823,1787080118295,SELL,0.48122287224004534,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.467446,0.0,0.0,0,0
20260818-190823,1787080118227,SELL,0.48122287224004534,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.467446,0.0,0.0,0,0
20260818-190823,1787080118397,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.63472,0.0,0.0,0,0
20260818-190823,1787080118499,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.63472,0.0,0.0,0,0
20260818-190823,1787080118601,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.630797,0.0,0.0,0,0
20260818-190823,1787080118556,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.630797,0.0,0.0,0,0
20260818-190823,1787080118703,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.632183,0.0,0.0,0,0
20260818-190823,1787080118805,SELL,0.4802021010976586,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.463245,0.0,0.0,0,0
20260818-190823,1787080118692,SELL,0.4802021010976586,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.463245,0.0,0.0,0,0
20260818-190823,1787080118907,SELL,0.4802021010976586,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.463245,0.0,0.0,0,0
20260818-190823,1787080119009,SELL,0.4802021010976586,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.463245,0.0,0.0,0,0
20260818-190823,1787080119111,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.644585,0.0,0.0,0,0
20260818-190823,1787080119213,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.642037,0.0,0.0,0,0
20260818-190823,1787080126557,SELL,0.4581663946183905,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.423765,0.0,0.0,0,0
20260818-190823,1787080126537,SELL,0.4581663946183905,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.423765,0.0,0.0,0,0
20260818-190823,1787080126659,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.546645,0.0,0.0,0,0
20260818-190823,1787080126761,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.54697,0.0,0.0,0,0
20260818-190823,1787080126657,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.54697,0.0,0.0,0,0
20260818-190823,1787080126863,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.55047,0.0,0.0,0,0
20260818-190823,1787080126965,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.556591,0.0,0.0,0,0
20260818-190823,1787080127067,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.9371,0.0,0.0,0,0
20260818-190823,1787080127001,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.9371,0.0,0.0,0,0
20260818-190823,1787080127169,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.937113,0.0,0.0,0,0
20260818-190823,1787080127271,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.942572,0.0,0.0,0,0
20260818-190823,1787080127373,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.947574,0.0,0.0,0,0
20260818-190823,1787080127266,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.947574,0.0,0.0,0,0
20260818-190823,1787080127475,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.94952,0.0,0.0,0,0
20260818-190823,1787080127577,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.950963,0.0,0.0,0,0
20260818-190823,1787080127520,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.950963,0.0,0.0,0,0
20260818-190823,1787080127679,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.877983,0.0,0.0,0,0
20260818-190823,1787080127781,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.880919,0.0,0.0,0,0
20260818-190823,1787080127883,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.911806,0.0,0.0,0,0
20260818-190823,1787080127985,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.916184,0.0,0.0,0,0
20260818-190823,1787080127875,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.916184,0.0,0.0,0,0
20260818-190823,1787080128087,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.915618,0.0,0.0,0,0
20260818-190823,1787080128189,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.918496,0.0,0.0,0,0
20260818-190823,1787080128291,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.688521,0.0,0.0,0,0
20260818-190823,1787080128393,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.688455,0.0,0.0,0,0
20260818-190823,1787080128495,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.684089,0.0,0.0,0,0
20260818-190823,1787080128597,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812133,0.0,0.0,0,0
20260818-190823,1787080128501,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812133,0.0,0.0,0,0
20260818-190823,1787080128699,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812102,0.0,0.0,0,0
20260818-190823,1787080128801,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812281,0.0,0.0,0,0
20260818-190823,1787080128903,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.810664,0.0,0.0,0,0
20260818-190823,1787080129005,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.810664,0.0,0.0,0,0
20260818-190823,1787080129107,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812465,0.0,0.0,0,0
20260818-190823,1787080129209,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812477,0.0,0.0,0,0
20260818-190823,1787080129079,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812477,0.0,0.0,0,0
20260818-190823,1787080129311,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.812424,0.0,0.0,0,0
20260818-190823,1787080129413,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.816836,0.0,0.0,0,0
20260818-190823,1787080129515,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.825061,0.0,0.0,0,0
20260818-190823,1787080129617,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.825061,0.0,0.0,0,0
20260818-190823,1787080129719,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.8279,0.0,0.0,0,0
20260818-190823,1787080129729,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.8279,0.0,0.0,0,0
20260818-190823,1787080129732,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.900272,0.0,0.0,0,0
20260818-190823,1787080129821,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.900272,0.0,0.0,0,0
20260818-190823,1787080129732,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.900272,0.0,0.0,0,0
20260818-190823,1787080129923,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.905123,0.0,0.0,0,0
20260818-190823,1787080130025,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.953584,0.0,0.0,0,0
20260818-190823,1787080130127,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.89108,0.0,0.0,0,0
20260818-190823,1787080130229,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.877455,0.0,0.0,0,0
20260818-190823,1787080130331,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.877455,0.0,0.0,0,0
20260818-190823,1787080130433,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.745607,0.0,0.0,0,0
20260818-190823,1787080130535,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.711948,0.0,0.0,0,0
