feature,threshold,n_signals,gross_bps,t_stat,p_value,ci_low,ci_high,net_taker_bps,net_maker_bps,sessions_positive,total_sessions,frac_positive,name
resiliency_500,0.0008846875213912532,6551,0.005208313961479285,1.2594283728420506,0.20792052319317822,-0.016676632027474138,0.025989292724066224,-4.66059168603852,-1.9947916860385206,4,9,0.040604487864448174,H1: Resiliency
flow_persistence,0.5777777777777778,5759,-0.030359317122263883,-2.444162154797413,0.01454869500038379,-0.17581939699645932,0.10014927861114632,-4.696159317122264,-2.030359317122264,4,9,0.16027088036117382,H2: Flow Persistence
depth_concentration,0.9851202892504519,6557,-0.005853093132426196,-0.6768731311745881,0.4985103340682916,-0.10217774754794669,0.08936001316197609,-4.671653093132426,-2.0058530931324263,2,8,0.104468506939149,H3: Depth Concentration
spread_change,0.0,271,0.3033663154928065,4.858190525970814,2.010173996369602e-06,0.053406512085130566,0.5589288580999007,-4.362433684507193,-1.6966336845071934,6,8,0.5166051660516605,H4: Spread Change
normalized_flow,0.0,5976,0.36702750862381267,34.679840702919016,0.0,0.24672931200664927,0.5012582703599163,-4.298772491376187,-1.6329724913761874,7,9,0.2931726907630522,H5: Normalized Flow
event_clustering,0.43592070625062534,6473,0.021942169436307193,1.5255330379671659,0.1271750626121999,-0.15885861570837745,0.18856408820965154,-4.643857830563693,-1.9780578305636929,4,9,0.28008651320871314,H6: Event Clustering
large_trade_direction,0.0,885,1.5909822324411995,47.880822288131206,0.0,1.2873202127884498,1.9583545920043348,-3.0748177675588004,-0.4090177675588005,6,9,0.9310734463276836,H7: Large Trade Direction
