session,ts_ms,action,gross_bps,net_bps,mid,spread_bps,pred_raw,calibrated,exec_ready
20260818-190746,1787080074333,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.49692223671368857,-0.5717989357779674,False
20260818-190746,1787080074435,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5076229090348041,-0.5717989357779674,False
20260818-190746,1787080074537,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.4945365750893163,-0.5717989357779674,False
20260818-190746,1787080074639,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5027795010666709,-0.5717989357779674,False
20260818-190746,1787080074493,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5145105746929344,-0.5717989357779674,False
20260818-190746,1787080074741,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5146754025448181,-0.5717989357779674,False
20260818-190746,1787080074843,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5170276956486173,-0.5717989357779674,False
20260818-190746,1787080074945,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5133126155825822,-0.5717989357779674,False
20260818-190746,1787080075047,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5035260474060663,-0.5717989357779674,False
20260818-190746,1787080075149,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5131073067618577,-0.5717989357779674,False
20260818-190746,1787080075251,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.46239700844360937,-0.5717989357779674,False
20260818-190746,1787080075353,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5175046682707567,-0.5717989357779674,False
20260818-190746,1787080075455,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5168001687110655,-0.5717989357779674,False
20260818-190746,1787080075382,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5296403206489588,-0.5717989357779674,False
20260818-190746,1787080075557,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.526041805324317,-0.5717989357779674,False
20260818-190746,1787080075659,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.534134973905485,-0.5717989357779674,False
20260818-190746,1787080075761,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5318560920689457,-0.5717989357779674,False
20260818-190746,1787080075863,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5291860776546327,-0.5717989357779674,False
20260818-190746,1787080075965,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5295228923396749,-0.5717989357779674,False
20260818-190746,1787080076067,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5324793159964916,-0.5717989357779674,False
20260818-190746,1787080075960,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5412791070873304,-0.5717989357779674,False
20260818-190746,1787080076169,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5384632522728601,-0.5717989357779674,False
20260818-190746,1787080076271,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5405396393157698,-0.5717989357779674,False
20260818-190746,1787080076123,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.548775874067825,-0.5717989357779674,False
20260818-190746,1787080076373,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5506425389373406,-0.5717989357779674,False
20260818-190746,1787080076475,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5485607254174958,-0.5717989357779674,False
20260818-190746,1787080076577,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5493057278508535,-0.5717989357779674,False
20260818-190746,1787080076679,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5489687844432585,-0.5717989357779674,False
20260818-190746,1787080076781,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5466369402206595,-0.5717989357779674,False
20260818-190746,1787080076659,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5580059869434433,-0.5717989357779674,False
20260818-190746,1787080076883,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5610416416833945,-0.5717989357779674,False
20260818-190746,1787080076985,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5587451003726382,-0.5717989357779674,False
20260818-190746,1787080077087,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5556703552935274,-0.5717989357779674,False
20260818-190746,1787080077189,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5594972840537016,-0.5717989357779674,False
20260818-190746,1787080077291,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5557605638711907,-0.5717989357779674,False
20260818-190746,1787080077393,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.559510260257631,-0.5717989357779674,False
20260818-190746,1787080077495,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5599420357393583,-0.5717989357779674,False
20260818-190746,1787080077597,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5633847692954976,-0.5717989357779674,False
20260818-190746,1787080077699,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5598867453757725,-0.5717989357779674,False
20260818-190746,1787080077801,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5649204625345867,-0.5717989357779674,False
20260818-190746,1787080077903,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5635088810941382,-0.5717989357779674,False
20260818-190746,1787080078005,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5553795179446426,-0.5717989357779674,False
20260818-190746,1787080078107,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5653564677106997,-0.5717989357779674,False
20260818-190746,1787080078209,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5627097163621044,-0.5717989357779674,False
20260818-190746,1787080078311,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5571248481850359,-0.5717989357779674,False
20260818-190746,1787080078247,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5667728906044338,-0.5717989357779674,False
20260818-190746,1787080078413,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5688367172020514,-0.5717989357779674,False
20260818-190746,1787080078515,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5703386130965395,-0.5717989357779674,False
