session,ts_ms,action,gross_bps,net_bps,cost_bps,fill_prob,filled,qi_l1,spread_bps
20260818-190746,1787080070049,SELL,-0.0,0.0,2.0,0.5225509203240399,True,-0.431679,0.015452
20260818-190746,1787080070151,SELL,-0.0,-2.0,2.0,0.5225509203240399,True,-0.431679,0.015452
20260818-190746,1787080070043,SELL,-0.0,0.0,2.0,0.5225509203240399,True,-0.431679,0.015452
20260818-190746,1787080070253,SELL,-0.0,-2.0,2.0,0.5225509203240399,True,-0.431679,0.015452
20260818-190746,1787080070355,SELL,-0.0,0.0,2.0,0.5148750618935201,True,-0.474302,0.015452
20260818-190746,1787080070457,SELL,-0.0,-2.0,2.0,0.514866417706,True,-0.47435,0.015452
20260818-190746,1787080070370,SELL,-0.0,-2.0,2.0,0.514866417706,True,-0.47435,0.015452
20260818-190746,1787080070559,SELL,-0.0,0.0,2.0,0.51485777351848,True,-0.474398,0.015452
20260818-190746,1787080070661,SELL,-0.0,0.0,2.0,0.51674724884056,True,-0.463906,0.015452
20260818-190746,1787080070763,SELL,-0.0,0.0,2.0,0.51674724884056,True,-0.463906,0.015452
20260818-190746,1787080070865,SELL,-0.0,-2.0,2.0,0.51674724884056,True,-0.463906,0.015452
20260818-190746,1787080070967,SELL,-0.0,-2.0,2.0,0.51674724884056,True,-0.463906,0.015452
20260818-190746,1787080071069,SELL,-0.0,0.0,2.0,0.51674724884056,True,-0.463906,0.015452
20260818-190746,1787080071171,SELL,-0.0,0.0,2.0,0.51756898691668,True,-0.459343,0.015452
20260818-190746,1787080071273,SELL,-0.0,-2.0,2.0,0.51756898691668,True,-0.459343,0.015452
20260818-190746,1787080071375,SELL,-0.0,-2.0,2.0,0.51756898691668,True,-0.459343,0.015452
20260818-190746,1787080071477,SELL,-0.0,0.0,2.0,0.51756268386328,True,-0.459378,0.015452
20260818-190746,1787080071579,SELL,-0.0,0.0,2.0,0.51783443550844,True,-0.457869,0.015452
20260818-190746,1787080071681,SELL,-0.0,0.0,2.0,0.51783443550844,True,-0.457869,0.015452
20260818-190746,1787080071783,SELL,-0.0,0.0,2.0,0.51783443550844,True,-0.457869,0.015452
20260818-190746,1787080071885,SELL,-0.0,-2.0,2.0,0.5190721751089601,True,-0.450996,0.015452
20260818-190746,1787080071987,SELL,-0.0,0.0,2.0,0.5190721751089601,True,-0.450996,0.015452
20260818-190746,1787080072089,SELL,-0.0,-2.0,2.0,0.5190721751089601,True,-0.450996,0.015452
20260818-190746,1787080072191,SELL,-0.0,0.0,2.0,0.51891243772708,True,-0.451883,0.015452
20260818-190746,1787080072293,SELL,-0.0,-2.0,2.0,0.5177000904274001,True,-0.458615,0.015452
20260818-190746,1787080072174,SELL,-0.0,-2.0,2.0,0.5177000904274001,True,-0.458615,0.015452
20260818-190746,1787080072395,SELL,-0.0,0.0,2.0,0.51769072589092,True,-0.458667,0.015452
20260818-190746,1787080072497,SELL,-0.0,0.0,2.0,0.51769072589092,True,-0.458667,0.015452
20260818-190746,1787080072599,SELL,-0.0,0.0,2.0,0.51781966835476,True,-0.457951,0.015452
20260818-190746,1787080072701,SELL,-0.0,-2.0,2.0,0.51786180876892,True,-0.457717,0.015452
20260818-190746,1787080072803,SELL,-0.0,0.0,2.0,0.51786180876892,True,-0.457717,0.015452
